티커,BPS,PER,PBR,EPS,DIV,DPS
060310,829,77.88,3.1,33,0.0,0
054620,10864,21.88,1.02,505,0.0,0
265520,17980,3.35,1.02,5463,1.47,270
211270,5997,39.16,1.87,287,0.62,70
126600,6585,4.8,0.77,1053,1.98,100
013720,1580,0.0,0.88,0,0.0,0
083790,2732,0.0,1.17,0,0.0,0
035760,171357,0.0,0.34,0,0.0,0
311690,7423,0.0,2.71,0,0.0,0
051500,25929,6.3,1.0,4136,1.34,350
058820,1332,0.0,1.87,0,0.0,0
023460,3404,0.0,0.59,0,1.0,20
056730,569,32.87,2.25,39,0.0,0
065770,936,0.0,1.63,0,0.0,0
083660,79,0.0,16.65,0,0.0,0
404950,0,0.0,0.0,0,0.0,0
456440,0,0.0,0.0,0,0.0,0
367360,0,0.0,0.0,0,0.0,0
060900,1740,0.0,1.74,0,0.0,0
025440,2195,0.0,1.16,0,0.0,0
068790,12373,5.36,0.46,1053,2.22,125
241520,3364,5.31,0.91,573,0.0,0
065150,262,0.0,1.06,0,0.0,0
180400,1184,0.0,6.03,0,0.0,0
245620,381,0.0,4.59,0,0.0,0
037370,7337,0.0,2.03,0,0.0,0
050120,8242,1.78,0.41,1918,0.0,0
214270,3566,0.0,0.72,0,0.0,0
130500,5072,9.33,0.62,337,0.0,0
083450,21654,4.75,1.15,5243,1.2,300
297890,2190,7.73,2.31,653,2.97,150
078150,2744,7.5,0.98,358,0.74,20
195940,41095,27.01,0.88,1342,0.88,320
028300,5023,0.0,5.95,0,0.0,0
278650,968,0.0,3.13,0,0.0,0
067630,2314,0.0,3.85,0,0.0,0
024850,370,0.0,9.15,0,0.0,0
047920,3083,0.0,4.06,0,0.0,0
115450,1793,0.0,2.12,0,0.0,0
046210,986,62.0,4.4,70,0.0,0
403870,2407,36.67,13.77,904,0.45,150
036640,6661,8.71,0.82,628,3.66,200
405350,0,0.0,0.0,0,0.0,0
426550,0,0.0,0.0,0,0.0,0
439730,0,0.0,0.0,0,0.0,0
442770,0,0.0,0.0,0,0.0,0
448760,0,0.0,0.0,0,0.0,0
095340,16085,40.74,6.4,2526,0.58,600
099520,413,27.91,3.11,46,0.0,0
067290,1160,107.41,2.69,29,0.0,0
035900,9081,55.17,12.39,2039,0.33,369
318000,4288,30.2,2.81,399,1.11,134
024840,3072,32.08,0.53,51,0.0,0
024120,8740,45.05,0.49,96,3.47,150
455250,0,0.0,0.0,0,0.0,0
458320,0,0.0,0.0,0,0.0,0
021320,22594,22.6,0.22,223,2.98,150
036670,9125,4.49,0.82,1656,3.36,250
044180,1464,0.0,0.49,0,0.0,0
151860,22772,0.78,0.46,13572,1.42,150
046440,8294,7.27,0.66,754,4.01,220
035600,15089,5.06,0.72,2153,3.67,400
226360,883,0.0,0.36,0,0.0,0
111870,10545,0.0,0.28,0,0.0,0
060720,10166,13.59,1.46,1094,2.02,300
058400,1563,16.05,0.58,56,2.22,20
060370,4569,0.0,2.51,0,0.26,30
122450,5988,9.18,0.75,489,3.72,167
052900,2046,4.13,0.57,283,0.0,0
376190,8229,14.0,0.85,502,0.0,0
061970,6142,7.8,1.17,918,0.0,0
309960,4723,20.15,0.83,194,0.0,0
086960,1258,0.0,1.57,0,0.0,0
038340,247,0.0,5.19,0,0.0,0
160550,4300,0.0,1.36,0,0.0,0
053290,5170,15.69,0.83,275,1.39,60
060250,5131,10.1,1.78,903,2.19,200
104200,5461,23.82,0.82,187,0.0,0
024940,4921,33.54,1.29,189,0.39,25
218410,10432,170.28,1.73,106,0.55,100
327260,5233,26.57,2.09,411,0.92,100
091340,8329,0.0,0.34,0,0.0,0
419530,5924,0.0,3.57,0,0.0,0
019550,730,0.0,1.19,0,0.0,0
046140,9066,11.25,0.62,497,0.0,0
151910,216,0.0,2.43,0,0.0,0
036120,866,60.0,4.71,68,1.23,50
099220,1886,105.0,0.78,14,0.0,0
036540,2779,18.89,1.78,262,0.0,0
255220,1980,15.98,0.65,80,0.0,0
040610,9276,1.36,0.18,1225,0.0,0
049470,790,0.0,0.8,0,0.0,0
184230,909,8.37,0.83,90,0.0,0
016250,78491,1.3,0.27,16327,7.06,1500
048550,1115,36.93,1.89,57,0.0,0
063440,1136,37.04,1.76,54,0.0,0
289080,1297,9.55,1.48,201,3.13,60
089230,340,0.0,0.81,0,0.0,0
161570,858,0.0,1.13,0,0.0,0
032540,6121,19.41,1.02,322,3.68,230
022220,1824,13.66,0.66,88,0.0,0
048770,2664,2202.5,1.65,2,0.57,25
246690,1787,6.57,0.76,207,0.73,10
317240,190,0.0,7.51,0,0.0,0
057030,3039,7.58,1.18,472,4.19,150
040300,6078,54.35,1.17,131,0.84,60
051390,8894,10.75,0.43,352,3.96,150
052220,2431,43.56,1.31,73,0.0,0
079940,9245,6.99,1.26,1666,0.6,70
078890,12011,7.75,0.44,689,1.87,100
399720,4734,101.45,8.85,413,0.0,0
036620,568,21.25,6.73,180,0.0,0
217730,1301,0.0,1.48,0,0.0,0
114190,1237,180.68,19.28,132,0.0,0
094480,2934,34.89,1.64,138,0.93,45
039240,3837,8.51,0.79,358,4.27,130
053950,2976,0.0,0.51,0,0.0,0
011040,9479,15.03,0.71,447,5.95,400
024910,3398,4.78,0.82,581,0.0,0
198440,3419,0.0,0.57,0,0.0,0
049720,2824,14.39,3.88,761,3.01,330
014570,7855,6.23,0.87,1095,2.64,180
348150,4433,0.0,2.13,0,0.0,0
098460,4553,22.11,2.84,584,1.08,140
035290,313,0.0,4.38,0,0.0,0
215000,59058,4.92,1.52,18293,5.0,4500
121440,15929,2.09,0.27,2032,3.84,163
366030,2663,12.16,2.52,552,2.68,180
014200,1622,0.0,0.62,0,0.0,0
029480,2126,0.0,1.72,0,0.0,0
026910,4287,22.46,0.94,179,0.0,0
397880,0,0.0,0.0,0,0.0,0
421800,0,0.0,0.0,0,0.0,0
440790,0,0.0,0.0,0,0.0,0
456490,0,0.0,0.0,0,0.0,0
053270,3328,17.83,0.85,159,1.06,30
066620,21204,4.86,0.7,3036,2.71,400
043650,14755,0.0,0.37,0,3.86,210
006050,1416,23.51,0.91,55,0.0,0
060480,4324,38.79,0.82,91,1.42,50
078130,413,0.0,1.94,0,0.0,0
307750,1867,37.31,3.64,182,0.0,0
035080,40293,0.65,0.35,21470,1.43,200
204020,3430,31.04,0.91,101,0.96,30
114450,3509,0.0,0.86,0,0.0,0
186230,5635,0.0,1.56,0,0.0,0
204620,1630,0.0,3.48,0,0.0,0
019660,429,0.0,3.94,0,0.0,0
053260,7727,16.87,0.72,332,2.14,120
282720,6763,14.69,1.83,842,2.74,339
036190,50316,6.11,0.57,4707,4.52,1300
049080,718,0.0,2.0,0,0.0,0
420770,9464,31.78,9.16,2728,0.87,750
035460,2435,12.8,1.1,209,0.0,0
308100,9442,0.0,0.61,0,0.0,0
407400,1106,49.58,7.53,168,0.0,0
187790,883,0.0,1.71,0,0.0,0
286750,496,0.0,5.89,0,0.0,0
121600,18750,81.23,7.85,1811,0.17,250
247660,7261,412.24,2.78,49,0.0,0
039860,2150,24.14,1.95,174,0.0,0
091970,1050,0.0,0.64,0,0.0,0
417010,1067,84.57,19.26,243,0.0,0
405920,4774,6.88,1.45,1005,0.0,0
051490,6665,9.43,1.0,704,1.05,70
137080,9763,31.25,0.74,232,1.38,100
190510,7719,6.04,1.66,2119,0.0,0
242040,1193,245.0,2.05,10,0.0,0
089600,18182,7.9,1.03,2375,3.73,700
293580,996,15.34,1.36,88,1.33,18
138610,3696,0.0,4.67,0,0.0,0
130580,5448,6.88,1.12,889,2.97,182
036800,33633,5.3,0.69,4358,2.81,650
267320,671,4815.0,7.18,1,0.0,0
111710,8185,6.95,0.85,1003,4.3,300
091590,14298,4.55,0.55,1719,2.55,200
168330,1123,0.0,2.19,0,0.0,0
094860,372,0.0,1.02,0,0.0,0
253590,1714,14.78,2.35,273,0.87,35
212560,12301,6.86,0.56,997,1.46,100
095660,21772,59.28,1.7,625,0.0,0
042420,48255,0.0,0.52,0,0.0,0
311390,6133,0.0,1.36,0,0.0,0
085910,4291,9.02,0.85,405,6.84,250
092730,18184,11.25,1.35,2177,2.86,700
290660,337,0.0,3.46,0,0.0,0
306620,1135,0.0,2.5,0,0.0,0
153460,5096,9.21,1.49,824,0.0,0
007390,913,0.0,8.43,0,0.0,0
033640,10934,5.35,1.66,3399,0.0,0
330860,21047,11.33,1.14,2109,0.0,0
089140,13940,0.0,0.54,0,0.0,0
137940,1304,0.0,0.29,0,0.0,0
396270,2260,0.0,6.17,0,0.0,0
348210,10101,18.09,7.94,4433,0.62,500
225570,3718,151.27,4.48,110,0.0,0
217270,8628,0.0,0.89,0,0.0,0
104620,2075,0.0,3.77,0,0.0,0
194700,10231,8.66,1.02,1206,1.44,150
285490,12583,18.43,2.4,1639,0.66,200
106520,1432,0.0,0.29,0,0.0,0
376930,855,0.0,6.39,0,0.0,0
142280,1577,0.0,2.73,0,0.0,0
234690,5417,15.23,1.27,451,1.46,100
065560,1781,0.0,3.24,0,0.0,0
054050,15560,13.26,0.53,616,2.45,200
069140,3750,0.0,1.13,0,0.0,0
040160,7039,87.0,0.68,55,0.0,0
332290,866,0.0,2.34,0,0.0,0
348340,3844,0.0,8.51,0,0.0,0
060260,439,0.0,1.95,0,0.0,0
012340,520,0.0,3.08,0,0.0,0
214870,0,0.0,0.0,0,0.0,0
